unix,date,symbol,open,high,low,close,volume-btc,Volume USD
1646092800,2022-03-01 00:00:00,BTC/USD,43221.71,43626.49,43185.48,43185.48,49.00628870,2116360.1005280763
1646006400,2022-02-28 00:00:00,BTC/USD,37717.10,44256.08,37468.99,43178.98,3160.61807044,136472264.45116735
1645920000,2022-02-27 00:00:00,BTC/USD,39146.66,39886.92,37015.74,37712.68,1701.81704307,64180081.56384513
1645833600,2022-02-26 00:00:00,BTC/USD,39242.64,40330.99,38600.00,39146.66,912.72408690,35730099.50368476
1645747200,2022-02-25 00:00:00,BTC/USD,38360.93,39727.97,38027.61,39231.64,2202.85182731,86421489.86236808
1645660800,2022-02-24 00:00:00,BTC/USD,37253.26,39720.00,34324.05,38376.88,6302.85095659,241883754.81893963
1645574400,2022-02-23 00:00:00,BTC/USD,38269.94,39303.24,37060.16,37274.18,1778.27525833,66283752.06853892
1645488000,2022-02-22 00:00:00,BTC/USD,37036.98,38463.88,36368.99,38269.94,2388.75903515,91417664.9496484
1645401600,2022-02-21 00:00:00,BTC/USD,38384.09,39494.11,36810.72,37076.60,3501.42036418,129820762.27455617
1645315200,2022-02-20 00:00:00,BTC/USD,40108.62,40151.62,37974.18,38373.90,1283.51154740,49253343.768772855
1645228800,2022-02-19 00:00:00,BTC/USD,40008.75,40471.27,39587.08,40109.02,695.65429600,27902012.07134992
1645142400,2022-02-18 00:00:00,BTC/USD,40532.66,40996.31,39450.00,39996.99,2212.71492010,88501936.5320905
1645056000,2022-02-17 00:00:00,BTC/USD,43901.49,44204.78,40088.88,40556.11,2437.49036088,98855127.19978897
1644969600,2022-02-16 00:00:00,BTC/USD,44590.75,44590.75,43312.83,43901.48,1251.83359420,54957347.499099426
1644883200,2022-02-15 00:00:00,BTC/USD,42567.27,44785.66,42469.96,44582.48,1772.92325828,79041315.70380294
1644796800,2022-02-14 00:00:00,BTC/USD,42078.53,42871.68,41575.00,42540.30,1270.88651697,54063893.69785889
1644710400,2022-02-13 00:00:00,BTC/USD,42232.68,42779.60,41882.54,42077.74,515.45574228,21689212.705164846
1644624000,2022-02-12 00:00:00,BTC/USD,42392.22,43034.00,41740.06,42241.11,892.34533043,37693657.260679975
1644537600,2022-02-11 00:00:00,BTC/USD,43540.15,43969.72,41983.12,42406.19,2170.37239741,92037224.25532396
1644451200,2022-02-10 00:00:00,BTC/USD,44426.24,45850.00,43209.07,43524.60,2692.62339808,117195356.35207276
1644364800,2022-02-09 00:00:00,BTC/USD,44106.95,44865.72,43164.00,44426.84,1625.88352507,72232867.22692087
1644278400,2022-02-08 00:00:00,BTC/USD,43895.60,45501.00,42701.19,44091.56,2591.80146351,114276569.73643896
1644192000,2022-02-07 00:00:00,BTC/USD,42420.24,44524.18,41682.11,43869.04,2601.46944039,114123966.93924652
1644105600,2022-02-06 00:00:00,BTC/USD,41422.70,42701.86,41141.81,42420.24,854.67571444,36255548.928716265
1644019200,2022-02-05 00:00:00,BTC/USD,41608.82,41983.12,40975.00,41427.72,1892.23797403,78391104.96148212
1643932800,2022-02-04 00:00:00,BTC/USD,37330.75,41760.39,37064.28,41579.57,3901.59890405,162226804.74287024
1643846400,2022-02-03 00:00:00,BTC/USD,36924.50,37391.74,36264.55,37320.11,1624.39014671,60622418.95813334
